Carimbo de data/hora;Endereço de e-mail;Title;ID;Project description;Country;Continent;Biome/ecoregion;Climate region;What are the project purpose and objectives?;What are the project objectives?;Who owns the land used in the project?;Which size in hectares is the project area?;What is the total amount of CO2 removal generated by the project activity?;What biomass was counted?;"
What year did the project start?";How long will the project last?;Who will get the profit from the carbon credit sale?;What are the funding systems predicted?;What are the origin of the plant species used?;What species will be planted in the restoration activity?;Enumerate all the actions planned in the project;Are social actions planned for the project?  ;Are biodiverisity actions planned for the project?  ;What are all measurable variables used for biodiversity counting?;Are there indices of biodiversity used as a sign of project success?;Is there a biodiversity monitoring plan for the post-project phase?;What will be the land use in the area after the end of the project?;What type of recovery activity is carried out in the project?;"Filter suitability
";If no, why?
5/1/2024 13:57:47;gabrielasales@discente.ufg.br;Forestal Apepu Carbon Project;2369;The Forestal Apepu Carbon Project is a sustainable reforestation initiative established in 2019 in Eastern Paraguay by an international forestry fund. The primary objectives of the project are the sequestration of carbon and the production of quality timber in a highly deforested landscape. The project involves the restoration of degraded land through above- and belowground biomass as well as soil organic carbon pools. Forestal Apepu purchased two contiguous properties totaling 2,658 hectares in the Department of San Pedro, which were previously used for agriculture and beef production. The project aims to enhance carbon sequestration while complying with Paraguayan laws and regulations, as verified through third-party audits within the scope of the project's FSC certification;Paraguay;South America;Tropical and Subtropical Moist Broadleaf Forests, Tropical and Subtropical Grasslands, Savannas and Shrublands;Tropical;The primary purpose of the Forestal Apepu Carbon Project is to conduct sustainable reforestation in Eastern Paraguay with the aim of sequestering carbon and producing quality timber in a highly deforested landscape.;"1. Restoring forest cover and generating greenhouse gas (GHG) emission reductions through afforestation areas with fast-growing eucalypt plantations and trials of plantations with native species.
2. Providing substantial environmental benefits related to climate change and biodiversity, as well as reducing soil disturbances.
3. Establishing a target production area of 1,850 hectares of forest plantations by 2022, with 955 hectares already established between 2019 and 2020.
4. Integrating the tree component into a landscape dominated by soy and beef production to enhance sustainable socio-economic development and climate change resilience.
5. Contributing to quality timber production in a country that has transitioned from a net exporter to a net importer of wood and timber.
6. Managing plantations according to best practices to bring socio-economic value to the region.
7. Generating carbon credits through the removal of 205,762 tons of CO2 per hectare over a 20-year crediting period.
8. Depositing 15% buffer credits in the AFOLU pooled buffer account to address non-permanence risks.
9. Conducting monitoring and reporting activities to track GHG emissions and project performance";project proponent;2658;205762;Above ground, Below ground, Soil biomass;2019;20;Project investors;Carbon credits under VCS;Native, Exotic;Guatambú (Balfourodendron riedelianum), Cedro (Cedrela fissilis), Peterevy (Cordia trichotoma), Lapacho (Handroanthus impetiginosus), Kurupa’y (Anadenanthera colubrine), Timbo (Enterolobium contortisiliquum), Eucalyptus grandis x Eucalyptus urophylla (urograndis), Eucalyptus grandis x Eucalyptus camaldulensis (grancam);"1. Planting native and exotic tree species in afforestation areas .
2. Implementing silvicultural regimes for quality timber production .
3. Conducting trials of plantations with native species and fast-growing eucalypt plantations 
4. Strict protection of remaining natural forest areas.
5. Monitoring and reporting on carbon sequestration and greenhouse gas emissions .
6. Employing seedlings collected by UNIQUE for planting purposes .
7. Obtaining FSC certification for the management of plantations .
9. Purchasing properties for reforestation purposes .
";No;Yes;None;No;No;Commercial (timber production);Commercial reforestation;Yes;
5/2/2024 10:52:13;gabrielasales@discente.ufg.br;Afforestation Project in Eucalyptus and Acacia Plantations for Burapha Agroforestry Co., Ltd.;2367;The Burapha Agroforestry Carbon project focuses on promoting carbon sequestration through afforestation of Eucalyptus and Acacia agroforestry plantations on degraded lands that were previously used for shifting cultivation, as outlined in the Joint Project Description & Monitoring Report . This initiative represents one of the first major afforestation projects in the private sector in Lao PDR . The project aims to enhance carbon sequestration by establishing these plantations on degraded areas that were previously utilized for swidden agriculture for rice cropping by local communities . Through the afforestation of Eucalyptus and Acacia trees, the project seeks to contribute to environmental sustainability and biodiversity conservation in the region.;Lao PDR;Asia;Tropical and Subtropical Moist Broadleaf Forests;Tropical monsoon;The purpose of the Burapha Agroforestry Carbon project is to promote carbon sequestration through afforestation of Eucalyptus and Acacia agroforestry plantations on degraded lands previously used for shifting cultivation in the Lao People's Democratic Republic (Lao PDR);"1. Control and correct actions leading to forest deterioration
2. Achieve livelihood improvements for locals
3. Ensure sustainable forest management by promoting commercial tree planting
4. Contribute to forest ecosystem conservation";private owners;3536;33998;Above ground, Below ground, Soil biomass;2016;20;Project investors;Carbon credits under VCS;Exotic;Eucalyptus cumadulensis, Eucalyptus  urophylla, Eucalyptus  pellits, Eucalyptus  grandis, Acacia auriculiformis;"1. Designating potential conservation areas during the land acquisition process to prevent clearing. 
2. Afforestation of Eucalyptus and Acacia agroforestry plantations on degraded lands
3. Allowing intercropping by local farmers during the first years
4. Allowing cattle grazing on the plantation areas between years 3 to 7
5. Thinning out the plantations in years 3 and 4
6. Coppicing the Eucalypts after the first rotation and replanting after each second rotation";Yes;Yes;None;No;No;Commercial (timber production), Local sustainable use, None;Commercial reforestation;Yes;
5/2/2024 11:34:10;gabrielasales@discente.ufg.br;Integrated Project for Reforestation and Agroforestry on Degraded Lands in Nicaragua;2365;The Integrated Project for Reforestation and Agroforestry on Degraded Lands in Nicaragua aims to reforest and rehabilitate a total area of 4,204 hectares in Nicaragua by 2030. The project, which began in 2016, has already realized 677 hectares of pure teak and cocoa agroforestry systems in the northeast region of Nicaragua, specifically in the Autonomous Region of the North Caribbean Coast (RACCN). The project area includes municipalities such as Siuna and Bonanza, located within the buffer zone of the BOSAWAS Biosphere Reserve. The project contributes to sustainable development goals by creating long-term jobs in a rural, poverty-affected region of Nicaragua, aligning with the country's National Development Plan and the internationally defined Sustainable Development Goals (SDGs).;Nicaragua;Central America;Tropical and Subtropical Moist Broadleaf Forests, Tropical and Subtropical Dry Broadleaf Forests;Tropical;The purpose of the Integrated Project for Reforestation and Agroforestry on Degraded Lands in Nicaragua is to reforest and rehabilitate degraded lands, specifically targeting an area of 4,204 hectares in Nicaragua by 2030.;"1. Reforest and rehabilitate a total area of 4,204 hectares in Nicaragua by 2030.
2. Establish pure teak (Tectona grandis) plantations and cocoa agroforestry systems (Theobroma cacao) in the target area.
3. Contribute to sustainable development goals, including social development, environmental protection, and poverty reduction.
4. Create long-term job opportunities in a poverty-affected rural region of Nicaragua.
5. Align with Nicaragua's National Development Plan and the internationally defined 17 Sustainable Development Goals (SDGs) ";project proponent;4204;798906;Above ground, Below ground, Soil biomass;2016;40;Project investors;Carbon credits under VCS;Exotic;Teak (Tectona grandis), Cacao (Theobroma cacao), Acacia (Acacia mangium) ;"1. Clear felling, thinning, and pruning in Teak and Teak-cacao plantations 
2. Harvesting of cacao beans 
3. Planting of Acacia as a shade tree for cacao 
4. Removal of Acacia after 4 years for charcoal production 
5. Conservation of protected tree species 
6. Flora and fauna monitoring, including reptiles, amphibians, mammals, and birds 
7. Establishment of informative and educational signboards 
8. Implementation of social and environmental management plans ";Yes;Yes;Animal biodiversity, Plant biodiversity, Number of trees planted, Permanent Sample Plots Protection area;Yes;Yes;Commercial (timber production), None, agricultural ;Commercial reforestation, Reforestation for recovering, Agroforestry;Yes;
5/8/2024 8:07:04;gabrielasales@discente.ufg.br;Afforestation in cooperation with local landowners for Forestal San Pedro S.A;2361;"The project involves afforestation in cooperation with local landowners for Forestal San Pedro S.A in Paraguay. It is the first large-scale project in the country to establish plantations in silvopastoral systems based on a leasing model with long rotations for quality timber production. The project is FSC certified and aligns with national reforestation goals and governmental efforts to formalize the biomass sector. Additionally, the project aims to introduce a carbon component to prevent double accounting and contribute to national greenhouse gas reduction targets. Managed by an experienced team, the project is expected to remove 849,056 t CO2e over a 20-year crediting period, with 20% buffer credits deposited in the AFOLU pooled buffer account. The project falls under the AFOLU project category of ""Afforestation, Reforestation, and Revegetation"" according to the VCS Standard";Paraguay ;South America;Tropical and Subtropical Moist Broadleaf Forests;Subtropical;The purpose of the project is to establish large-scale plantations in Paraguay through a leasing model with local landowners, focusing on silvopastoral systems for quality timber production. The project aims to contribute to national reforestation goals, formalize the biomass sector, introduce a carbon component to prevent double accounting, and support national greenhouse gas reduction targets. Additionally, the project seeks to remove carbon dioxide from the atmosphere and enhance environmental sustainability through afforestation efforts;"1. Establishing large-scale plantations in Paraguay using a leasing model with local landowners.
2. Implementing silvopastoral systems for quality timber production.
3. Contributing to national reforestation goals and formalizing the biomass sector.
4. Introducing a carbon component to prevent double accounting and support national greenhouse gas reduction targets.
5. Removing carbon dioxide from the atmosphere and enhancing environmental sustainability through afforestation efforts";private owners;6350;849056;Above ground, Below ground, Soil biomass;2015;20;Project investors, Local private owners;Carbon credits under VCS;Exotic;Eucalyptus grandis, Eucalyptus urophylla, Eucalyptus  saligna, Corymbia citriodora, Corymbia maculata, Eucalyptus urogrands (urophylla x grandis), Eucalyptus  grancam (grandis x camaldulensis);"1. Establishment and management of 7,000 ha of sustainable forest plantations for carbon sequestration and timber production.
2. Cooperation with local landowners for tree planting on their properties, mainly in silvopastoral systems.
3. Leasing land from landowners for tree planting, with landowners receiving a share of benefits.
4. Continued use of land for cattle grazing in a manner compatible with forestry.
5. Leasing contracts covering at least one quality timber rotation period of about 15 years.
6 .Harvesting trees for quality timber production and replanting after each rotation.
7. Introduction of a carbon component to the project for experience and proof of concept in the region.
8. Informing national authorities to avoid double accounting and support governmental efforts in carbon accounting.
9. Restoration activities in FMU 9, including planting native trees in buffer zones.
10. Environmental and biodiversity baseline studies on all Forest Management Units.
Biodiversity monitoring assessments in FMU 9.
11. Social actions including building relationships with local service providers, addressing job opportunities, stakeholder consultations, grievance mechanism, and adherence to a code of conduct ";Yes;Yes;Animal biodiversity, Plant biodiversity, Abundance of individuals of various species, Presence of indicator species that reflect the health and diversity of the ecosystem;;Yes;Commercial (timber production);Commercial reforestation;Yes;
5/8/2024 8:39:15;gabrielasales@discente.ufg.br;Zhanjiang Mangrove Afforestation Project;2343;The Zhanjiang Mangrove Afforestation Project is located in Zhanjiang City, Guangdong Province, China, with the goal of restoring the degraded local mangrove ecosystem and increasing forest cover. The project involves planting 380.40 hectares of mangroves with four native mangrove species: Kandelia obovata, Aegiceras corniculatum, Avicennia marina, and Rhizophora stylosa. By directly involving local residents in the project implementation, the aim is to establish a healthy local ecological and economic system.;China;Asia;Mangroves;Subtropical;The purpose of the Zhanjiang Mangrove Afforestation Project is to restore the degraded local mangrove ecosystem and increase forest cover by planting a variety of native mangrove species;"1. Restore the degraded local mangrove ecosystem.
2. Increase forest cover by planting native mangrove species.
3. Establish a healthy local ecological and economic system.
4. Generate greenhouse gas emission removals.
5. Improve the local environment.
6. Enhance the capabilities of local communities through technical skills and training.
7. Provide suitable habitat for animals, especially endangered birds that primarily inhabit mangroves";the government;380.40;5845;Above ground, Below ground, Soil biomass;2015;30;Project investors;Carbon credits under VCS, Carbon credits under CCB;Native;Kandelia obovata, Aegiceras corniculatum, Avicennia marina, Rhizophora stylosa;"1. Planting 380.40 hectares of mangroves with native species .
2. Implementing a systematic scheme with efficient measures for fire prevention and insect control .
3. Applying an advanced management approach with expert support and technical training
4. Monitoring biodiversity impacts through Pressure, State, and Response indicators 
5. Involving local residents directly in the project implementation to establish a healthy local ecological and economic system .
6. Providing technical skills and training ";Yes;Yes;Plant biodiversity, Populational data of a key or focous species, Forest cover, Area affected by fire disasters, Area affected by insects and diseases, Area affected by typhoon disasters;Yes;Yes;None;Revegetation;Yes;
5/8/2024 9:24:25;gabrielasales@discente.ufg.br;TIST Program in Uganda;2339;The TIST Program in Uganda is a sustainable initiative that focuses on tree planting and carbon sequestration while providing economic and social benefits to small-scale farmers. The project involves monthly Cluster meetings administered by trained Cluster Servants who serve as educators and quantifiers. Participants are subsistence farmers primarily engaged in farming activities across various regions of Uganda.;Uganda;Africa;Tropical and Subtropical Moist Broadleaf Forests, Tropical and Subtropical Grasslands, Savannas and Shrublands;Tropical;The purpose of the project is to promote sustainable practices such as tree planting, carbon sequestration, and community development among small-scale farmers in Uganda.;"1. Increase the number of hectares and count of indigenous trees planted and total trees planted.
2. Increase hectares of planting on hillsides and riparian areas.
3. Increase the number of Small Groups within the project.
4. Increase the number of project participants.
5. Provide training sessions on natural resource management practices, health, HIV, tree planting, biodiversity, vocational skills, and ICT.
6. Increase the number of community members with greenhouse gas agreements and payments for ecosystem services.
7. Increase the number of fruit or nut trees in the project.
8. Increase the number of people employed by the project or under contract to deliver services.
9. Provide economic benefits for farmers.
10. Increase the number of people accessing mobile money services.
11. Increase the number of people gaining access to healthcare.
12. Monitor eucalyptus trees.
13. Ensure equal participation of women in leadership positions within the project.";private owners;2414;5271440;Above ground, Below ground;2015;25;Local private owners;Carbon credits under VCS, Carbon credits under CCB;Native, Exotic;Eucalyptus grandis, Pinus patula, Cupressus spp, Other Africa, Dry Tropical;"1. Direct tree planting of species selected by Small Groups based on their goals and needs .
2. Monitoring project activities using innovative data collection systems .
3. Training Small Groups to use local natural techniques for pest management .
4. Long-term management of trees by Small Groups with incentives for maintaining healthy stands .
5. Monitoring tree planting locations and topography to reduce erosion and protect waterways .
6. Providing education and training on biodiversity and climate change issues to local populations .
7. Creating buffer zones and biodiversity corridors to support High Conservation Value areas.
8. Disseminating biodiversity monitoring plans to engage farmers in decision-making processes";Yes;Yes;Restored area, Number of trees planted, Endangered/Vulnerable/Threatened Species planted, Hectares of riparian tree planting, High Conservation Values impacted;Yes;Yes;Local sustainable use;Afforestation, Reforestation for recovering;Yes;
5/8/2024 11:27:15;gabrielasales@discente.ufg.br;TIST Program in Kenya;2338;The TIST Program in Kenya is a sustainable agroforestry initiative that aims to empower small groups of farmers by promoting tree planting and carbon sequestration activities. The project, which began around February 2015, focuses on regions around Meru and Nanyuki, with expansion plans to include areas like Bomet, Gatanga South, Kandara South, and others clustered around Mount Kenya.;Kenya;Africa;Tropical and Subtropical Grasslands, Savannas and Shrublands;Tropical;;"1. Increase the number of hectares and count of indigenous trees planted and the total number of trees planted.
2. Expand the hectares of planting on hillsides and riparian areas.
3. Enhance biodiversity by increasing the count and hectares of indigenous trees.
4. Plant trees from Endangered/Vulnerable/Threatened Species.
5. Improve soil stabilization for long-term water quality enhancement.
6. Reduce pollution levels through carbon sequestration.
7. Promote Conservation Farming to boost crop yields.
8. Plant fruit and nut trees as part of the tree planting program.
9. Provide social and health training on various topics including malaria, HIV/AIDS, water quality, leadership skills, and climate change.
10. Generate employment opportunities for local quantifiers and staff.
11. Empower small groups to select tree species and promote biodiversity.
12. Support sustainable development by addressing agricultural, HIV/AIDS, nutritional, and fuel challenges.
13. Ensure gender parity in leadership roles.
14. Increase access to mobile money services.
15. Provide healthcare services to the community.
16. Establish riparian and hillside woodlots.
17. Increase the number of people with signed greenhouse gas contracts.
18. Enhance training on ICT, Biodiversity, Natural Resource Management, and other sustainable development practices.
19. Foster community engagement and participation within the project and program";private owners;2,293,154;5937992;Above ground, Below ground;2015;60;Project investors, Local private owners;Carbon credits under VCS, Carbon credits under CCB;Native, Exotic;"Acacia abyssinica, Acacia mearnsii, Acacia nilotica, Acacia seyal, Acacia spp., Acokanthera schimperi, Afzelia quanzensis, Albizia gummifera, Anacardium occidentale, Aniba rosaeodora, Annona muricata, Annona senegalensis, Annona spp., Artocarpus heterophyllus, Azadirachta indica, Azanza garckeana, Bersama abyssinica, Blighia unijugata, Bombax ceiba
Brachychiton acerifolium, Brachystegia spiciformis, Brachystegia spp., Bridelia taitensis, Burkea africana, Callistemon spp., Canarium schweinfurthii, Casimiroa edulis, Casuarina equisetifolia, Celtis durandii, Citrus aurantifolia, Citrus limonum, Citrus reticulata
Citrus sinensis, Cocos nucifera, Combretum molle, Cordia Africana, Cordia monoica
Croton macrostachyus, Croton megalocarpus, Croton Sylvaticus, Cupressus spp., Cussonia holstii, Dendrocalamus giganteus, Dichrostachys cinerea, Dombeya rotundifolia, Dombeya spp., Dovyalis abyssinica, Ehretia cymosa, Endiandra glauca, Entada abyssinica, Erythrina abyssinica, Eucalyptus grandis, Euclea divinorum, Ficus sycomorus, Ficus thonningii, Fraxinus berlandieriana, Fraxinus pennsylvanica, Grevillea robusta, Grewia bicolor, Hagenia abyssinica, Harungana spp., Jacaranda mimosifolia, Khaya nyasica, Kigelia africana, Landolphia Petersiana, Leucaena leucocephala, Lovoa swynnertonii, Lumnitzera racemosa, Macadamia spp., Maesopsis eminii, Mangifera indica, Markhamia lutea, Melia azedarach, Melia volkensii, Moringa oleifera, Morus alba, Musa spp., Newtonia buchananii, Ocetea kenyensis, Ocotea usambarensis, Olea europae, Olinia rochetiana, Ozoroa insignis, Parkinsonia aculeata, Pavetta gardeniifolia, Pentas longiflora, Persea americana, Phoenix reclinata, Pinus Patula, Pinus spp., Pithecelobium dulce, Podocarpus falcatus, Polyscias fulva, Pouteria sapota, Prunus africana, Prunus persica, Prunus spp., Psidium guajava, Pterocarpus angolensis, Pterocarpus spp., Punica granatum, Rapanea melanophloeos, Rhamnus spp., Rhus vulgaris, Rubus spp., Rumex usambarensis, Salacia madagascariensis, Sapium ellipticum, Schinus molle, Senna septemtrionalis, Sesbania grandiflora, Sesbania sesban, Solanum aculeastrum, Spathodea campanulata, Strychnos henningsii, Strychnos madagascariensis, Swietenia mahagoni, Syzygium cordatum, Syzygium guineense, Tamarindus indica, Teclea nobilis, Terminalia brownii, Toddalia asiatica, Toona ciliata, Trichilia emetica, Vangueria spp., Vitex keniensis, Warburgia ugandensis, Withania somnifera, Ximenia americana, Zanthoxylum chalybeum";"1. Direct tree planting of species selected by Small Groups
2. Preparation of a list of suitable species based on local input
3. Training sessions on the benefits of selected tree species
4. Monitoring activities using innovative data collection systems
5. Use of smartphones, GPS receivers, and internet for data collection
6. Training Small Groups in natural pest management techniques
7. Grounding neem seeds for pest control
8. Empowering Small Groups to select tree species and promote biodiversity
9. Transparent reporting of program results using internet technology
10. Training farmers on the impacts of tree planting and biodiversity
11. Monitoring endangered, vulnerable, and threatened species planted
12. Creating buffer zones and wildlife corridors
13. Training on biodiversity conservation and decision-making";Yes;Yes;Restored area, Number of trees planted, Endangered/Vulnerable/Threatened Species planted, High Conservation Value (HCV) areas impacted, Hectares of trees planted on steep hillsides, Hectares of riparian tree planting;Yes;Yes;Local sustainable use;Afforestation, Reforestation for recovering, Agroforestry;Yes;
5/13/2024 10:18:16;gabrielasales@discente.ufg.br;Agroforestry Plantation Project in the Batéké Plateau, Republic of Congo;2319;The Agroforestry Plantation Project in the Batéké Plateau, Republic of Congo, aims to develop agroforestry plantations for energy production in previously unforested or sparsely forested areas. The project, initiated by the Société des Plantations Forestières Batéké-Brazzaville (Batéké-Brazzaville Forest Plantation Company), is located approximately 100 kilometers north of Brazzaville on the Batéké Plateau. The project involves setting up plantations in four separate areas with acquired land titles: Ibina 1, Ibina 2, Ingah, and Oka 1. Additionally, a fifth estate named Dieuleveut will host the nursery for the project. The primary species planted include eucalyptus and acacia, covering a total of 5,000 hectares in the savannah areas of Congo.;Republic of Congo;Africa;Tropical and Subtropical Grasslands, Savannas and Shrublands;Tropical;The purpose of the Agroforestry Plantation Project in the Batéké Plateau, Republic of Congo, is to develop agroforestry plantations for energy production in previously unforested or sparsely forested areas..;"1. Reforestation of 5,000 hectares with eucalyptus and acacia trees in savannah areas.
2. Implementation of an improved renewable charcoal production center using biomass from the reforested area.
3. Contribution to the mitigation of global warming by sequestering CO2 through tree planting.
4. Reduction of pressure on surrounding natural forests by providing a renewable source of biomass energy.
5. Promotion of sustainable coal production and increased agricultural yields through agroforestry plantations.
6. Preservation of biodiversity, water resources, and soil quality by fighting deforestation.
7. Enhancement of food security in the Batéké Plateau region.
8. Development of agroforestry techniques for local communities to increase monetary flows and living standards.
9. Establishment of monitoring and maintenance operations for the acacias and charcoal production.
10. Creation of marketing channels for plant material and technical supervision for agroforestry replication";private owners;5489;1191354;Above ground, Below ground;2018;100;Project investors;Carbon credits under VCS;Exotic;Acacia auriculiformis, Acacia mangium;"1. Planting of Acacia auriculiformis and Acacia mangium trees for agroforestry and carbon sink forest plantations
2. Conducting regular meetings with local stakeholders to inform them about project progress and results
3. Ensuring all workers have employment contracts and working conditions are governed by company rules
4. Ensuring the project fully respects customary rights and local land legislation
5. Conducting an Environmental and Social Impact Assessment (ESIA) to preserve the environment and human well-being 
6. Rehabilitation of degraded land by assisting natural vegetation and protecting it from fire";Yes;No;None;No;No;Commercial (timber production), Local sustainable use;Afforestation, Agroforestry;Yes;
5/13/2024 11:26:33;gabrielasales@discente.ufg.br;HE INDUS DELTA MANGROVE RESTORATION PROJECT PHASE 1 Document Prepared By: Indus Delta Capital;2250;The Delta Blue Carbon - 1 project is an initiative aimed at promoting climate change mitigation and adaptation, maintaining biodiversity, and creating improved livelihoods, well-being, and employment for forest-dependent communities in the Sindh Indus Delta Region in Pakistan. The project focuses on mangrove conservation and restoration activities in the Thatta and Sujawal districts of Sindh Province. It involves a contractual agreement between Indus Delta Capital Limited and The Sindh Forest Department to implement project activities, develop carbon assets, and obtain carbon financing for large-scale restoration and conservation work. The project start date marks the commencement of mangrove forests and wetlands conservation, mangrove afforestation, and restoration activities in the field. The project aims to address threats to coastal and marine ecosystems, climate change impacts, disasters risk reduction and management, and the promotion of blue carbon initiatives.;Pakistan;Asia;Mangroves;Tropical;The purpose of the Delta Blue Carbon - 1 project is to promote climate change mitigation and adaptation, maintain biodiversity, and create improved livelihoods, well-being, and employment for forest-dependent communities in the Sindh Indus Delta Region in Pakistan.;"1. Promote climate change mitigation and adaptation.
2. Maintain biodiversity in the Sindh Indus Delta Region.
3. Create improved livelihoods, well-being, and employment for forest-dependent communities in the Project Zone.
4. Restore and protect 224,997 hectares of mangroves through Mangrove Stewardship Agreements.
5. Assist local forest-dependent communities in adapting to the probable impacts of climate change.
6. Decrease vulnerability to climate change-related shocks by improving the financial security and well-being of communities.
7. Improve climate change resilience of local people through the provision of mangrove ecosystem goods and services.
8. Yield substantial climate change adaptation benefits for the biodiversity in the region by revitalizing degraded coastal habitat and ensuring its long-term sustainability.";the government;224997;142050139;Above ground, Below ground, Soil biomass;2015;60;Project investors;Carbon credits under VCS, Carbon credits under CCB;Native;Avicennia marina, Rhizophora mucronata, Ceriops tagal, Aegiceras corniculatum, Acacia nilotica.;"1. Increasing awareness and capacity of local communities to end poaching and trafficking of protected fauna species.
2.Integrating ecosystem and biodiversity values into local, provincial, and national planning development processes.
3. Sustainable landscape management tools to maintain ecological structure and composition of the ecosystem.
4. Provision of solar energy to selected communities, especially those living in the creeks.
5. Institutionalization of project interventions into regular functioning of relevant departments.
6. Capacitating and engaging community organizations.
7. Establishing functional linkages with other partner organizations.
8. Proper administration, handling, and management of project information ";Yes;Yes;Abundance of individuals of various species, Populational data of a key or focous species, Restored area, Natural recovering areas;Yes;Yes;Local sustainable use;Revegetation;Yes;
5/13/2024 12:09:44;gabrielasales@discente.ufg.br;Revegetation with fruit trees in North Manica Province, Mozambique;2085;The project activity involves the revegetation with fruit trees in North Manica Province, Mozambique. It includes the planting of Macadamia, Avocado, and Litchi trees in the northern part of Manica Province, specifically around 40 km southeast from Chimoio town and just outside Sussundenga town. The project started in 2015 and during the first phase (2015-2018), 698.4 hectares were planted with these fruit tree species. The project aims to expand by planting additional areas in the future, with a total projected area of around 2,000 hectares. The initiative is unique in the area due to its scale and the establishment of its own tree nursery to ensure high-quality seedlings for better yields and project scalability;Mozambique;Africa;Tropical and Subtropical Grasslands, Savannas and Shrublands;Tropical;"The purpose of the project ""Revegetation with fruit trees in North Manica Province, Mozambique"" is to establish new plantations of fruit trees in the region. ";"1. Remove greenhouse gas emissions from the atmosphere by planting around 2,000 hectares of fruit trees, sequestering CO2 in their biomass and contributing to mitigating climate change.
2. Contribute to local biodiversity conservation through the development of an agroforestry ecosystem on previously abandoned land, promoting sustainable land use practices, restoring degraded soils, reducing erosion rates, and increasing biodiversity.
3. Contribute to local sustainable development by providing training and employment opportunities for the local population in the field of sustainable agriculture.
4. Support the Government of Mozambique's priorities related to promoting employment, productivity, competitiveness, sustainable natural resource management, and transparent environmental management.
5. Align with the United Nations' Sustainable Development Goals, particularly SDG 13 on Climate Action, by measuring the project's contribution to reducing CO2 emissions through tree planting activities";private owners;2000;293113;Above ground;2015;30;Project investors;Carbon credits under VCS;Exotic;Macadamia (Macadamia integrifolia / tetraphylla), Avocado (Persea Americana), Litchi (Litchi chinensis);"1. Planting of Macadamia, Avocado, and Litchi trees in the northern part of Manica Province.
2. Sustainable management of the planted areas to promote agroforestry ecosystems.
3. Restoration of degraded soils and reduction of erosion rates.
4. Training courses on sustainable agricultural techniques.
5. Discussion of climate change-related issues during training courses.
6. Creation of job opportunities for local communities, including women and young people.
7. Payment of salaries higher than the minimum law wages to workers.
";Yes;No;Restored area;No;No;Local sustainable use;Afforestation, Agroforestry;Yes;
5/13/2024 14:49:02;gabrielasales@discente.ufg.br;Renencom Afforestation/Reforestation Grouped Project;1339;"The Renencom Afforestation/Reforestation Grouped Project involves the establishment of a forest in an area where historically no forests occur and agricultural potential of the land is low. The project, led by Renencom (Pty) Ltd, focuses on afforestation by planting bamboo on unutilized land in South Africa (Magaliesburg). The land had been fallow for 35 years prior to the project initiation. The goal is to increase carbon stock on the land through bamboo establishment, leading to greenhouse gas emission removals. The initial project activity, referred to as ""Project 1,"" covers a plantation size of 4.4 hectares and is expected to achieve an annual average emission removal of 63 tCO2 over a 20-year period, totaling 1,257 tCO2 removed. The project start date was December 22, 2010, with activities commencing upon the receipt of bamboo plants and financial commitment";South Africa;Africa;Tropical and Subtropical Grasslands, Savannas and Shrublands;Temperate;;;;;;;;;;;;;;;;;;;;;No;
5/13/2024 15:21:23;gabrielasales@discente.ufg.br;Jatropha Agroforestry Senegal;1071;The Jatropha Agroforestry Senegal project aims to establish Jatropha curcas plantations in the Fatick, Kaolack, and Kaffrine regions of central-western Senegal. The project involves planting 1411.34 hectares of Jatropha curcas within the specified regions. The initial phase of the project, conducted between 2009-2011, covered 574.34 hectares, with plans to plant an additional 837 hectares by 2020. The project focuses on implementing an agro-forestry system to manage trees in cultivated lands, promoting carbon storage in plant biomass and soils to mitigate greenhouse gas emissions and reverse soil degradation trends. The project's duration is set for 25 years, with a strong emphasis on involving local communities in sustainable agricultural and forestry practices;Senegal ;Africa;Tropical and Subtropical Grasslands, Savannas and Shrublands;Tropical;The purpose of the Jatropha Agroforestry Senegal project is to establish Jatropha curcas plantations in central-western Senegal to promote carbon storage in plant biomass and soils, mitigate greenhouse gas emissions, and reverse soil degradation trends. ;"1. Sequestration of carbon dioxide (CO2) through nurturing Jatropha curcas.
2. Regeneration of degraded soils to protect them against erosion processes and preserve existing carbon stocks.
3. Empowerment of local communities to develop sustainable agro-forestry practices.
4. Provision of diversified livelihood opportunities for local communities, including access to alternative income sources through Jatropha farming.
5. Promotion of sustainable agricultural practices by producing biodiesel from Jatropha seeds as an alternative energy source for the region";the government, private owners;1411.34;52735;Above ground, Below ground, Soil biomass;2009;24.5;Project investors;Carbon credits under VCS;Exotic;Jatropha curcas ;"1. Planting 1411.34 hectares of Jatropha curcas in the Fatick, Kaolack, and Kaffrine regions of Senegal .
2. Implementing an agro-forestry system to manage trees in cultivated lands for carbon storage and soil improvement .
3. Conducting manual planting activities by digging small holes for each seedling and covering them with soil .
4. Ensuring a survival rate of around 95% by replacing dead or diseased trees within the first three years of planting .
5. Avoiding the use of fire in site preparation or land clearing to prevent non-CO2 greenhouse gas emissions
6. Training local workers in sustainable agricultural and forestry practices
7. Issuing an illustrated guidebook on agricultural and forest management practices for local stakeholders .
8. Conducting specific training courses for local farmers on Jatropha curcas cultivation and sustainable practices .
9. Engaging local hand-workers from villages for plantation operational activities ";Yes;No;None;No;No;Local sustainable use;Agroforestry;Yes;
